cluster,cluster_name,size,terms
0,Natural & Life Sciences,72,"cellular, reactions, molecular, organisms, chemical, genome, metabolism, cell"
1,"Politics, Society & Ethics",244,"justice, democratic, political, democracy, gender, war, america, regulatory"
2,Academic Standing & Withdrawal,92,"withdrawal, probation, probationary status, probationary, incomplete, grade, leave absence, registrar"
3,Curriculum & Degree Structure,124,"math, coaching, recommended, updated, electives recommended, recommended major, updated periodically, level history"
4,Quantitative & Computing Sciences,154,"algorithms, data science, markov, math, software, programming, distributions, fitness"
5,Transfer Credit & Study Away,128,"universities, dukekunshan, edu cn, cn, dukekunshan edu, prior matriculation, ap, ipc"
6,"Arts, Humanities & Media",198,"fiction, new media, historical, media, contemporary china, gender, asia, war"
7,Advanced Placement & Grading,88,"placement basis, basis college, board examination, advanced placement, college board, placement, college, grade"
